name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Haima,2023-01-01,27.9,13.8,20.8,26.9,13.8,20.7,9.6,51.6,0,0,0,,0,0,23.4,22.3,356,1021.5,15.4,24.1,212.2,18.3,8,10,2023-01-01T06:49:53,2023-01-01T17:46:41,0.31,Clear,Clear conditions throughout the day.,clear-day,"41301099999,remote"
Haima,2023-01-02,28.3,15.7,21.8,27.4,15.7,21.7,11,51.7,0,0,0,,0,0,17.3,14.8,9,1020.7,51.2,24.1,205.9,17.8,8,10,2023-01-02T06:50:13,2023-01-02T17:47:18,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41301099999,remote"
Haima,2023-01-03,28.4,15.1,22.2,27.5,15.1,22,13.2,61.7,0,0,0,,0,0,31,17.6,79.9,1021.6,43.5,24.1,208.7,18.1,8,10,2023-01-03T06:50:32,2023-01-03T17:47:55,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41301099999,remote"
Haima,2023-01-04,27.4,14.1,21.5,26.7,14.1,21.4,11.2,55.1,0,0,0,,0,0,37.4,29.5,87.4,1019.9,1.6,24.1,211.4,18.3,8,10,2023-01-04T06:50:49,2023-01-04T17:48:33,0.41,Clear,Clear conditions throughout the day.,clear-day,"41301099999,remote"
Haima,2023-01-05,27.7,13.4,21,27.2,13.4,20.9,12.5,60.8,0,0,0,,0,0,35.6,24.1,93.8,1019.1,46.4,24.1,212,18.4,8,10,2023-01-05T06:51:05,2023-01-05T17:49:11,0.44,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"41301099999,remote"
Haima,2023-01-06,28.2,13.2,20.9,27.4,13.2,20.8,13.5,65.8,0,0,0,,0,0,36.4,25.9,95,1018.8,7.6,24.1,213.8,18.4,8,10,2023-01-06T06:51:20,2023-01-06T17:49:50,0.48,Clear,Clear conditions throughout the day.,clear-day,"41301099999,remote"
Haima,2023-01-07,27.8,13.9,21.1,27.6,13.9,21.1,14.1,67,0,0,0,,0,0,31,20.5,96.2,1018.4,1.9,24.1,215.2,18.6,8,10,2023-01-07T06:51:34,2023-01-07T17:50:28,0.5,Clear,Clear conditions throughout the day.,clear-day,"41301099999,remote"
Haima,2023-01-08,27.8,14.1,21.3,27.5,14.1,21.3,14,66.1,0,0,0,,0,0,27.7,14.8,91.9,1018,0,24.1,214.9,18.6,8,10,2023-01-08T06:51:47,2023-01-08T17:51:07,0.55,Clear,Clear conditions throughout the day.,clear-day,"41301099999,remote"
Haima,2023-01-09,28.2,14.7,21.4,27.9,14.7,21.3,14.8,68.8,0,0,0,,0,0,30.2,20.5,101.4,1019.2,0,24.1,214.7,18.5,8,10,2023-01-09T06:51:58,2023-01-09T17:51:47,0.58,Clear,Clear conditions throughout the day.,clear-day,"41301099999,remote"
Haima,2023-01-10,29.3,13.9,21.9,28.9,13.9,21.9,15.3,69.8,0,0,0,,0,0,37.1,22.3,137.5,1018.3,1.9,24.1,215.5,18.7,8,10,2023-01-10T06:52:09,2023-01-10T17:52:26,0.61,Clear,Clear conditions throughout the day.,clear-day,"41301099999,remote"
Haima,2023-01-11,27.8,14.9,21.1,27.5,14.9,21.1,14.6,70.1,0,0,0,,0,0,22,16.6,311.6,1018,0,24.1,219,19,8,10,2023-01-11T06:52:18,2023-01-11T17:53:06,0.65,Clear,Clear conditions throughout the day.,clear-day,"41301099999,remote"
Haima,2023-01-12,27.4,14.9,21,26.3,14.9,20.9,7.1,45.1,0,0,0,,0,0,34.2,27.7,343.8,1018.1,0,24.1,220.3,19.1,8,10,2023-01-12T06:52:25,2023-01-12T17:53:45,0.68,Clear,Clear conditions throughout the day.,clear-day,"41301099999,remote"
Haima,2023-01-13,26.9,14.4,21.1,26.9,14.4,21.1,13.2,63,0,0,0,,0,0,33.5,24.1,86.9,1018.8,34,24.1,207.7,18,8,10,2023-01-13T06:52:32,2023-01-13T17:54:25,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41301099999,remote"
Haima,2023-01-14,26.2,14.1,20.8,26.2,14.1,20.8,12.8,62.5,0,0,0,,0,0,29.2,15.8,95.3,1019.5,15.4,24.1,216,18.7,8,10,2023-01-14T06:52:37,2023-01-14T17:55:05,0.75,Clear,Clear conditions throughout the day.,clear-day,"41301099999,remote"
Haima,2023-01-15,26.9,13.4,20.7,26.7,13.4,20.6,12.5,62.3,0,0,0,,0,0,23,13,91.4,1018.4,0,24.1,218.3,18.9,8,10,2023-01-15T06:52:41,2023-01-15T17:55:44,0.75,Clear,Clear conditions throughout the day.,clear-day,"41301099999,remote"
Haima,2023-01-16,28.4,13.8,21.2,27.4,13.8,21,10.9,55,0,0,0,,0,0,19.4,13,94.5,1016.7,24.4,24.1,221.2,19.1,8,10,2023-01-16T06:52:44,2023-01-16T17:56:24,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41301099999,remote"
Haima,2023-01-17,28.4,14.2,21.8,27.9,14.2,21.7,14,64.7,0,0,0,,0,0,25.9,18,152.7,1015.8,85.9,24.1,221.7,19.1,8,10,2023-01-17T06:52:45,2023-01-17T17:57:04,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41301099999,remote"
Haima,2023-01-18,28.7,14.2,21.9,28.1,14.2,21.8,14.3,66.3,0,0,0,,0,0,25.6,16.6,193,1015.8,8.6,24.1,216,18.6,8,10,2023-01-18T06:52:45,2023-01-18T17:57:43,0.88,Clear,Clear conditions throughout the day.,clear-day,"41301099999,remote"
Haima,2023-01-19,25.7,15.2,20.1,25.7,15.2,20.1,7.8,48.1,0,0,0,,0,0,45.4,40.7,332.6,1017.8,11,24.1,228.2,19.7,8,10,2023-01-19T06:52:44,2023-01-19T17:58:23,0.91,Clear,Clear conditions throughout the day.,clear-day,"41301099999,remote"
Haima,2023-01-20,24.2,8.9,17.6,24.2,6.5,17.5,6.8,50.6,0,0,0,,0,0,31.3,20.5,317,1018.4,1,24.1,231.8,20,8,10,2023-01-20T06:52:41,2023-01-20T17:59:02,0.95,Clear,Clear conditions throughout the day.,clear-day,"41301099999,remote"
Haima,2023-01-21,25.1,11.4,19.2,25.1,11.4,19.2,9.3,53.7,0,0,0,,0,0,25.2,13.7,51.8,1018.5,35,24.1,186.2,16.1,7,10,2023-01-21T06:52:38,2023-01-21T17:59:41,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41301099999,remote"
Haima,2023-01-22,25.4,12.2,19.6,25.4,12.2,19.6,10.6,58.6,0,0,0,,0,0,25.9,15.5,86.5,1017.9,3.4,24.1,226.2,19.6,8,10,2023-01-22T06:52:32,2023-01-22T18:00:20,0,Clear,Clear conditions throughout the day.,clear-day,"41301099999,remote"
Haima,2023-01-23,25.6,12.7,19.7,25.6,12.7,19.7,11,60.2,0,0,0,,0,0,31.7,18.4,103.8,1018,2.9,24.1,223.9,19,8,10,2023-01-23T06:52:26,2023-01-23T18:00:58,0.05,Clear,Clear conditions throughout the day.,clear-day,"41301099999,remote"
Haima,2023-01-24,25.7,12.1,19.6,25.7,12.1,19.6,10.8,59.1,0,0,0,rain,0,0,34.2,20.5,109.7,1017.7,12.3,23.8,211.4,18.2,8,10,2023-01-24T06:52:18,2023-01-24T18:01:37,0.08,Clear,Clear conditions throughout the day.,clear-day,"41301099999,remote"
Haima,2023-01-25,25.9,12.2,19.9,25.9,12.2,19.9,11.1,59.5,0,0,0,,0,0,41.4,33.5,112,1016.9,16.6,24.1,217.6,18.7,8,10,2023-01-25T06:52:09,2023-01-25T18:02:15,0.12,Clear,Clear conditions throughout the day.,clear-day,"41301099999,remote"
Haima,2023-01-26,26.2,14.1,20.6,26.2,14.1,20.6,11.4,57.5,0,0,0,,0,0,43.6,31.7,113.7,1016.2,28.1,24.1,205,17.6,8,10,2023-01-26T06:51:59,2023-01-26T18:02:52,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41301099999,remote"
Haima,2023-01-27,26.1,14.2,20.6,26.1,14.2,20.6,13.4,65,0.3,100,8.33,rain,0,0,33.1,22.3,117.8,1015.9,29.9,23.3,189.5,16.3,8,10,2023-01-27T06:51:47,2023-01-27T18:03:30,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"41301099999,remote"
Haima,2023-01-28,23.6,14.2,18.6,23.6,14.2,18.6,12.4,71.1,0,0,0,,0,0,45.4,31.7,318,1016.9,30.9,24.1,231.3,20,8,10,2023-01-28T06:51:34,2023-01-28T18:04:07,0.25,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"41301099999,remote"
Haima,2023-01-29,22.4,9.7,16.3,22.4,7.1,16.2,5.4,53.2,0,0,0,,0,0,36.7,25.9,319.9,1016.8,0,24.1,246.7,21.2,9,10,2023-01-29T06:51:20,2023-01-29T18:04:44,0.25,Clear,Clear conditions throughout the day.,clear-day,"41301099999,remote"
Haima,2023-01-30,24.9,8.9,17.3,24.9,6.5,17.1,5.6,50,0,0,0,,0,0,19.4,14.8,320.7,1018,0,24.1,243.8,21.1,9,10,2023-01-30T06:51:05,2023-01-30T18:05:20,0.28,Clear,Clear conditions throughout the day.,clear-day,"41301099999,remote"
Haima,2023-01-31,26.7,11.1,18.9,26.7,11.1,18.9,10.3,60.7,0,0,0,,0,0,32,22.3,119.5,1017.6,0.1,24.1,240,20.7,9,10,2023-01-31T06:50:48,2023-01-31T18:05:56,0.32,Clear,Clear conditions throughout the day.,clear-day,"41301099999,remote"
Haima,2023-02-01,27.4,10.4,20,27,10.4,20,13.3,68.6,0,0,0,,0,0,35.6,22.3,110,1016.6,6.2,24.1,234.5,20.2,8,10,2023-02-01T06:50:30,2023-02-01T18:06:31,0.35,Clear,Clear conditions throughout the day.,clear-day,"41301099999,remote"
Haima,2023-02-02,28.4,12.9,20.9,27.5,12.9,20.8,12.9,63.3,0,0,0,,0,0,32,20.5,119.5,1016,1.5,24.1,242.5,20.8,9,10,2023-02-02T06:50:11,2023-02-02T18:07:06,0.38,Clear,Clear conditions throughout the day.,clear-day,"41301099999,remote"
Haima,2023-02-03,27.2,10.4,20.3,26.7,10.4,20.3,11.9,63.2,0,0,0,,0,0,25.2,20.5,104.1,1016.8,0,24.1,245.6,21.2,9,10,2023-02-03T06:49:51,2023-02-03T18:07:41,0.42,Clear,Clear conditions throughout the day.,clear-day,"41301099999,remote"
Haima,2023-02-04,28.8,10.4,21,27.5,10.4,20.8,11.2,59.8,0,0,0,,0,0,20.9,13,44.4,1015.7,0,24.1,242.1,20.9,9,10,2023-02-04T06:49:29,2023-02-04T18:08:15,0.45,Clear,Clear conditions throughout the day.,clear-day,"41301099999,remote"
Haima,2023-02-05,29.6,12.7,21.5,28.1,12.7,21.3,10.4,55.6,0,0,0,,0,0,23.4,14.8,340.3,1014.7,7.7,24.1,243.6,20.9,9,10,2023-02-05T06:49:07,2023-02-05T18:08:49,0.5,Clear,Clear conditions throughout the day.,clear-day,"41301099999,remote"
Haima,2023-02-06,31.3,14.6,23,29.2,14.6,22.4,5.7,35.9,0,0,0,,0,0,20.9,14.8,44.2,1015,39.2,24.1,248.3,21.5,9,10,2023-02-06T06:48:43,2023-02-06T18:09:22,0.52,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"41301099999,remote"
Haima,2023-02-07,32.7,15.2,23.3,30.6,15.2,22.8,12.7,59.5,0,0,0,,0,0,31,24.1,159.3,1014,38.7,24.1,235.4,20.3,9,10,2023-02-07T06:48:18,2023-02-07T18:09:55,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41301099999,remote"
Haima,2023-02-08,33.9,17.1,24.2,31.6,17.1,23.6,13.8,62.4,0,0,0,,0,0,31,20.5,166.2,1013.6,15.9,24.1,244,21.2,9,10,2023-02-08T06:47:52,2023-02-08T18:10:27,0.59,Clear,Clear conditions throughout the day.,clear-day,"41301099999,remote"
Haima,2023-02-09,31.2,14.2,22.6,29.3,14.2,22.2,11.4,58.3,0,0,0,,0,0,35.3,24.1,324.3,1015.1,0.1,24.1,253.7,22,9,10,2023-02-09T06:47:25,2023-02-09T18:10:59,0.62,Clear,Clear conditions throughout the day.,clear-day,"41301099999,remote"
Haima,2023-02-10,27.2,11.9,19.8,26.5,11.9,19.7,5.2,40.9,0,0,0,,0,0,47.5,42.5,331.7,1018.3,0,24.1,253.7,22,9,10,2023-02-10T06:46:56,2023-02-10T18:11:30,0.66,Clear,Clear conditions throughout the day.,clear-day,"41301099999,remote"
Haima,2023-02-11,29.4,10.7,19.4,27.6,10.7,19.2,5.3,45.3,0,0,0,,0,0,34.9,27.7,333.8,1018.6,0,24.1,259.1,22.3,9,10,2023-02-11T06:46:27,2023-02-11T18:12:01,0.69,Clear,Clear conditions throughout the day.,clear-day,"41301099999,remote"
Haima,2023-02-12,31.4,13.1,21,29.5,13.1,20.6,9.6,57.4,0,0,0,,0,0,26.3,18.4,114.9,1018.2,18.7,24.1,238.5,20.7,9,10,2023-02-12T06:45:56,2023-02-12T18:12:31,0.73,Clear,Clear conditions throughout the day.,clear-day,"41301099999,remote"
Haima,2023-02-13,32.8,11.6,21.8,30.6,11.6,21.3,11.1,61.5,0,0,0,,0,0,32.4,22.3,99,1017.9,26.1,24.1,231.5,20.1,9,10,2023-02-13T06:45:25,2023-02-13T18:13:01,0.75,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"41301099999,remote"
Haima,2023-02-14,32.6,15.6,22.4,30.6,15.6,22,12.3,62,0,0,0,,0,0,29.2,24.1,116.9,1016.6,34.3,24.1,232.7,20.1,9,10,2023-02-14T06:44:52,2023-02-14T18:13:30,0.79,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"41301099999,remote"
Haima,2023-02-15,32.9,12.2,22,30.5,12.2,21.5,10.7,59,0,0,0,,0,0,37.1,29.5,131.5,1014.4,34.1,24.1,247.5,21.3,9,10,2023-02-15T06:44:19,2023-02-15T18:13:59,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41301099999,remote"
Haima,2023-02-16,32.9,12.4,22,30.7,12.4,21.6,12.1,61.9,0,0,0,,0,0,24.5,16.6,131.6,1014.7,37,24.1,237.5,20.6,9,10,2023-02-16T06:43:45,2023-02-16T18:14:27,0.86,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"41301099999,remote"
Haima,2023-02-17,32,14.4,22.3,29.8,14.4,21.9,10.5,57.5,0,0,0,,0,0,19.4,16.6,75.3,1016.5,24.5,24.1,248.9,21.6,9,10,2023-02-17T06:43:09,2023-02-17T18:14:55,0.9,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"41301099999,remote"
Haima,2023-02-18,31.4,12.9,22.4,29.4,12.9,22,7.9,42.5,0,0,0,,0,0,34.9,27.7,343.5,1017.6,25.1,24.1,266.4,23,9,10,2023-02-18T06:42:33,2023-02-18T18:15:22,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41301099999,remote"
Haima,2023-02-19,30.4,13.2,21.8,28.5,13.2,21.4,7.9,45,0,0,0,,0,0,41.4,35.3,334.3,1018.2,2.4,24.1,269.8,23.2,9,10,2023-02-19T06:41:56,2023-02-19T18:15:49,0.97,Clear,Clear conditions throughout the day.,clear-day,"41301099999,remote"
Haima,2023-02-20,30.1,9.7,20.7,28.3,7.5,20.2,4.8,38.5,0,0,0,,0,0,39.6,33.5,327.9,1017.5,22,24.1,271.7,23.4,9,10,2023-02-20T06:41:18,2023-02-20T18:16:15,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41301099999,remote"
Haima,2023-02-21,30.1,11.9,20.9,28.2,11.9,20.6,1,30.6,0,0,0,,0,0,32,18,310,1016.9,84.2,24.1,272,23.4,9,10,2023-02-21T06:40:39,2023-02-21T18:16:41,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41301099999,remote"
Haima,2023-02-22,31.2,11.2,21.6,29.1,11.2,21.1,-1.9,22.6,0,0,0,,0,0,30.6,17.6,316.7,1015,7.2,24.1,276.5,24,10,10,2023-02-22T06:39:59,2023-02-22T18:17:06,0.07,Clear,Clear conditions throughout the day.,clear-day,"41301099999,remote"
Haima,2023-02-23,32.4,12.9,22.8,30.1,12.9,22.1,-0.5,23.2,0,0,0,,0,0,19.8,15.1,254,1012.9,0,24.1,277.5,24,10,10,2023-02-23T06:39:19,2023-02-23T18:17:31,0.1,Clear,Clear conditions throughout the day.,clear-day,"41301099999,remote"
Haima,2023-02-24,32.2,12.7,22.8,30.4,12.7,22.3,11.8,56.3,0,0,0,,0,0,37.1,27.7,166.1,1013.5,5.4,23.5,274.1,23.6,10,10,2023-02-24T06:38:37,2023-02-24T18:17:55,0.13,Clear,Clear conditions throughout the day.,clear-day,"41301099999,VRFB3,remote"
Haima,2023-02-25,31.3,16.9,23.8,30,16.9,23.6,16.6,70,0,0,0,,0,0,39.2,31.7,151.2,1015.8,38.4,24.1,259.7,22.5,9,10,2023-02-25T06:37:55,2023-02-25T18:18:19,0.17,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"41301099999,remote"
Haima,2023-02-26,32.7,17.4,24.3,30.5,17.4,23.8,14.3,62.7,0,0,0,,0,0,38.2,31.7,143.5,1017.3,23.3,24.1,267.6,23.2,10,10,2023-02-26T06:37:12,2023-02-26T18:18:42,0.2,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"41301099999,remote"
Haima,2023-02-27,33.2,17.4,24.1,30.7,17.4,23.4,11.9,59,0,0,0,,0,0,28.4,16.6,161.2,1017.1,22.2,24.1,260.5,22.6,10,10,2023-02-27T06:36:29,2023-02-27T18:19:05,0.25,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"41301099999,remote"
Haima,2023-02-28,33.1,16.7,24.1,30.8,16.7,23.4,11.9,57.3,0,0,0,,0,0,31.7,22.3,167.8,1016,2.1,24.1,275.6,23.8,10,10,2023-02-28T06:35:45,2023-02-28T18:19:28,0.26,Clear,Clear conditions throughout the day.,clear-day,"41301099999,remote"
Haima,2023-03-01,34.1,17.6,25.2,31.6,17.6,24.4,12.2,56.3,0,0,0,,0,0,36,20.9,181.7,1015.3,6.9,24.1,276.6,23.8,10,10,2023-03-01T06:35:00,2023-03-01T18:19:50,0.3,Clear,Clear conditions throughout the day.,clear-day,"41301099999,remote"
Haima,2023-03-02,33.4,18.9,25.3,31,18.9,24.6,12.5,56.2,0,0,0,,0,0,37.8,24.1,172.5,1016.3,29.3,24.1,273.6,23.6,10,10,2023-03-02T06:34:15,2023-03-02T18:20:12,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41301099999,remote"
Haima,2023-03-03,33.4,18.4,25.3,31.1,18.4,24.7,13.3,57.5,0,0,0,,0,0,30.6,20.5,157.4,1017.8,16.2,24.1,270.4,23.2,10,10,2023-03-03T06:33:29,2023-03-03T18:20:33,0.36,Clear,Clear conditions throughout the day.,clear-day,"41301099999,remote"
Haima,2023-03-04,33.5,16.9,25.2,31.3,16.9,24.5,12.4,53.9,0,0,0,,0,0,27.7,15.1,147.2,1018.4,6.1,24.1,275.5,23.7,10,10,2023-03-04T06:32:42,2023-03-04T18:20:54,0.4,Clear,Clear conditions throughout the day.,clear-day,"41301099999,remote"
Haima,2023-03-05,34.1,17.1,25.3,31.6,17.1,24.5,10.6,50.9,0,0,0,,0,0,20.5,14.8,135.7,1018,2.1,24.1,278.9,24,10,10,2023-03-05T06:31:55,2023-03-05T18:21:15,0.43,Clear,Clear conditions throughout the day.,clear-day,"41301099999,remote"
Haima,2023-03-06,33.7,16.9,25.7,31.3,16.9,24.8,6.9,36.4,0,0,0,,0,0,19.4,14.8,185.2,1016.5,0,24.1,283.7,24.5,10,10,2023-03-06T06:31:07,2023-03-06T18:21:35,0.46,Clear,Clear conditions throughout the day.,clear-day,"41301099999,remote"
Haima,2023-03-07,33.8,16.9,25.8,31.3,16.9,24.9,7,35.1,0,0,0,,0,0,22.3,16.6,179.3,1014.7,0,24.1,287.8,24.7,10,10,2023-03-07T06:30:19,2023-03-07T18:21:55,0.5,Clear,Clear conditions throughout the day.,clear-day,"41301099999,remote"
Haima,2023-03-08,34.8,16.7,26.2,32.2,16.7,25.3,9.5,45.1,0,0,0,,0,0,28.4,22.3,165.4,1014.4,24.8,24.1,289.4,24.8,10,10,2023-03-08T06:29:30,2023-03-08T18:22:14,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41301099999,remote"
Haima,2023-03-09,33,16.4,25.7,31.1,16.4,25.1,14.4,57.1,0,0,0,,0,0,31.3,21.2,126,1014.4,26.6,24.1,284.1,24.6,10,10,2023-03-09T06:28:41,2023-03-09T18:22:34,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41301099999,remote"
Haima,2023-03-10,32.7,16.6,25.3,30.4,16.6,24.7,12.9,54.3,0,0,0,,0,0,32,25.9,144.1,1014,37.9,24.1,287.5,24.8,10,10,2023-03-10T06:27:52,2023-03-10T18:22:53,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41301099999,remote"
Haima,2023-03-11,33.4,19.1,26.1,31.6,19.1,25.7,16.2,61.6,0,0,0,,0,0,33.1,25.9,154.9,1013.7,74.2,24.1,219.4,18.8,8,10,2023-03-11T06:27:02,2023-03-11T18:23:11,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41301099999,remote"
Haima,2023-03-12,34.6,19.1,26.4,32.2,19.1,25.7,14.5,59.2,0,0,0,,0,0,32,27.7,150.8,1013.3,60.7,24.1,269.9,23.3,10,10,2023-03-12T06:26:12,2023-03-12T18:23:30,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41301099999,remote"
Haima,2023-03-13,33.9,18.4,26.7,31.5,18.4,25.8,12.3,51,0,0,0,,0,0,28.1,16.9,183.1,1012.9,81.6,24.1,233.6,20.1,9,10,2023-03-13T06:25:22,2023-03-13T18:23:48,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41301099999,remote"
Haima,2023-03-14,32.2,23,27,29.9,23,26.3,10,36.8,0,0,0,,0,0,23,13.3,167.1,1011.5,89.8,24.1,212,18.4,7,10,2023-03-14T06:24:31,2023-03-14T18:24:06,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41301099999,remote"
Haima,2023-03-15,34.4,15.7,25.7,32,15.7,25,11.8,49.1,0,0,0,,0,0,29.2,24.1,166.3,1009.8,15.8,24.1,287.7,24.7,10,10,2023-03-15T06:23:40,2023-03-15T18:24:24,0.75,Clear,Clear conditions throughout the day.,clear-day,"41301099999,remote"
Haima,2023-03-16,35.1,20.2,27.4,33.7,20.2,27,16.8,60.4,0,0,0,,0,0,36,27.7,180.6,1009.6,10.3,24.1,283.8,24.7,10,10,2023-03-16T06:22:48,2023-03-16T18:24:41,0.81,Clear,Clear conditions throughout the day.,clear-day,"41301099999,remote"
Haima,2023-03-17,35.6,20.7,27.8,34.1,20.7,27.5,17.1,60.4,0,0,0,,0,0,27.7,18.4,191.1,1010.2,11.1,24.1,284.1,24.7,10,10,2023-03-17T06:21:57,2023-03-17T18:24:58,0.85,Clear,Clear conditions throughout the day.,clear-day,"41301099999,remote"
Haima,2023-03-18,35.7,19.4,28.7,33.6,19.4,27.6,11.5,42.6,0,0,0,,0,0,22.3,14.8,311.4,1009.9,2.6,24.1,286.9,24.9,10,10,2023-03-18T06:21:05,2023-03-18T18:25:16,0.88,Clear,Clear conditions throughout the day.,clear-day,"41301099999,remote"
Haima,2023-03-19,34.1,20.7,28.1,33,20.7,27.8,15.9,54,0,0,0,,0,0,24.8,16.6,134.1,1008.9,42.9,24.1,248.6,21.6,9,30,2023-03-19T06:20:13,2023-03-19T18:25:33,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41301099999,remote"
Haima,2023-03-20,35.3,22.6,27.9,35.4,22.6,28.4,20,66.8,3.1,100,41.67,rain,0,0,43.9,31.7,119.2,1005.9,19.3,24.1,274.8,23.9,10,60,2023-03-20T06:19:21,2023-03-20T18:25:49,0.95,Rain,Clear conditions throughout the day with rain.,rain,"41301099999,remote"
Haima,2023-03-21,35.7,22.1,27.6,36.7,22.1,28.5,20.8,70.8,1.4,100,12.5,rain,0,0,40.3,44.6,168.8,1004.8,10.4,24.1,281.3,24.2,10,30,2023-03-21T06:18:29,2023-03-21T18:26:06,0,Rain,Clear conditions throughout the day with rain.,rain,"41301099999,remote"
Haima,2023-03-22,33,22.6,27,30.6,22.6,26.3,9.4,44.1,0,0,0,,0,0,45.7,29.5,322.7,1007.7,15.2,24.1,301,25.8,10,30,2023-03-22T06:17:36,2023-03-22T18:26:23,0.02,Clear,Clear conditions throughout the day.,clear-day,"41301099999,remote"
Haima,2023-03-23,31.8,15.2,24.3,29.6,15.2,23.7,0.7,23,0,0,0,,0,0,34.6,25.9,343.3,1011.3,3.4,24.1,309.3,26.7,10,10,2023-03-23T06:16:44,2023-03-23T18:26:39,0.05,Clear,Clear conditions throughout the day.,clear-day,"41301099999,remote"
Haima,2023-03-24,31.1,13.7,23.4,29,13.7,22.9,2.2,26.7,0,0,0,,0,0,34.6,20.5,326.7,1012.2,4,24.1,310.3,26.8,10,10,2023-03-24T06:15:52,2023-03-24T18:26:56,0.08,Clear,Clear conditions throughout the day.,clear-day,"41301099999,remote"
Haima,2023-03-25,31.7,14.1,24.1,29.5,14.1,23.4,2.7,25.9,0,0,0,,0,0,22.3,14.8,327.8,1011.7,0,24.1,309.7,26.7,10,10,2023-03-25T06:14:59,2023-03-25T18:27:12,0.12,Clear,Clear conditions throughout the day.,clear-day,"41301099999,remote"
Haima,2023-03-26,33.9,17.9,25.9,32.1,17.9,25.6,15,57.6,0,0,0,,0,0,41.8,29.5,162.1,1011,0.5,24.1,299.6,25.9,10,10,2023-03-26T06:14:07,2023-03-26T18:27:28,0.15,Clear,Clear conditions throughout the day.,clear-day,"41301099999,remote"
Haima,2023-03-27,34.1,21.4,27.2,35,21.4,27.8,20.5,71,0.1,100,4.17,rain,0,0,48.6,38.9,158.8,1010.3,41.5,24.1,272.1,23.3,10,10,2023-03-27T06:13:14,2023-03-27T18:27:44,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"41301099999,remote"
Haima,2023-03-28,35.5,23.4,28.7,36.3,23.4,29.8,20.9,66.6,0.4,100,12.5,rain,0,0,42.8,27.7,182.8,1009.5,21.5,22.8,274.8,23.6,10,10,2023-03-28T06:12:22,2023-03-28T18:28:01,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"41301099999,remote"
Haima,2023-03-29,33.1,20.7,27.2,30.8,20.7,26.5,6.7,32.7,0,0,0,,0,0,43.9,33.5,334.5,1011.9,10.4,24.1,303.6,26.2,10,10,2023-03-29T06:11:30,2023-03-29T18:28:17,0.25,Clear,Clear conditions throughout the day.,clear-day,"41301099999,remote"
Haima,2023-03-30,32.3,14.4,24.5,30,14.4,23.8,0.7,24.3,0,0,0,,0,0,41.8,33.5,319.8,1011.7,0,24.1,321.4,27.6,10,10,2023-03-30T06:10:37,2023-03-30T18:28:33,0.28,Clear,Clear conditions throughout the day.,clear-day,"41301099999,remote"
